"Keyword","Trends","Impressions"
"kerstmarkt amsterdam","[22,32,22,36]","112"
"things to see in amsterdam","[25,37,32,25,26,25,27]","197"
"amsterdam attractions","[26,30,27,29,25,31,33,31]","232"
"amsterdam holland","[26,21,28,27,20,22,27,26,22,31]","250"
"ámsterdam países bajos","[27,26,24,31,36,32,27,28,26,25]","282"
"amsterdam pais","[22,24,30,37,25,30,40,37,28,27]","300"
"hamsterdam","[23,49,28,42,30,27,32,26,30,46,40]","373"
"amsterdam history","[20,47,33,43,37,23,48,53,43,55]","402"
"hôtels amsterdam pays-bas","[118,28,217,23,23]","409"
"amsterdam nl","[36,34,56,46,40,45,41,38,39,40,43]","458"
"netherlands capital city","[38,45,45,38,65,39,35,51,40,35,34]","465"
"amsterdam aktivitäten","[47,46,50,45,62,59,20,44,33,30,43]","479"
"amsterdam city","[49,46,37,46,59,41,46,34,37,48,42]","485"
"netherlands amsterdam","[42,33,48,42,41,47,40,39,39,75,45]","491"
"best things to do in amsterdam","[56,38,44,48,40,56,48,41,38,43,48]","500"
"amsterdam olanda","[47,46,51,39,32,63,43,49,47,49,53]","519"
"button amsterdam","[28,48,41,33,59,50,72,91,105]","527"
"jumping amsterdam","[23,42,58,128,51,37,25,53,47,39,47]","550"
"capital de holanda","[35,38,47,51,56,40,64,61,82,53,50]","577"
"is amsterdam in the netherlands","[57,56,63,62,55,54,47,72,52,56,62]","636"
"snowworld amsterdam","[30,59,41,50,83,67,61,67,61,81,98]","698"
"sehenswürdigkeiten amsterdam","[54,53,99,75,72,65,61,71,56,46,50]","702"
"amsterdam population","[73,56,83,80,66,60,65,66,54,68,53]","724"
"rino amsterdam","[66,69,76,57,56,48,52,69,81,90,73]","737"
"things to do in amsterdam netherlands","[93,77,64,73,60,72,48,68,78,55,68]","756"
"koekemannetje amsterdam","[39,62,47,63,46,78,112,79,115,83,82]","806"
"morey amsterdam","[72,74,65,57,67,60,82,85,59,85,103]","809"
"ámsterdam","[89,60,56,73,84,63,88,117,66,57,65]","818"
"mediacollege amsterdam","[63,79,60,70,94,89,32,84,74,113,78]","836"
"amsterdam pays","[67,67,84,78,61,72,99,80,80,72,85]","845"
"winterparadijs amsterdam","[25,59,51,46,76,68,90,124,165,170]","874"
"trip to amsterdam","[166,117,118,82,99,66,42,40,63,50,39]","882"
"where is amsterdam what country","[80,112,118,144,73,56,66,64,59,58,58]","888"
"loetje amsterdam","[71,68,67,79,82,95,79,87,69,107,95]","899"
"ymere amsterdam","[72,81,101,91,76,75,75,77,88,84,81]","901"
"amsterdam airport schiphol","[71,71,109,75,87,104,86,68,89,81,80]","921"
"wereldmuseum amsterdam","[73,67,84,81,76,103,91,88,77,91,99]","930"
"restaurant amsterdam","[71,77,70,93,73,100,61,106,90,99,95]","935"
"where is amsterdam located","[83,96,96,87,64,96,92,89,82,93,86]","964"
"mediamarkt amsterdam","[78,57,73,88,68,96,62,71,83,127,163]","966"
"flights amsterdam to tokyo","[30,27,39,63,136,160,131,134,250]","970"
"stadspas amsterdam","[80,99,85,114,79,65,86,80,116,98,85]","987"
"ajax amsterdam fc","[71,110,118,183,22,51,72,99,134,53,83]","996"
"amsterdam things to do","[87,103,93,111,76,102,76,67,100,101,88]","1004"
"amsterdam recorder","[101,100,90,91,85,96,94,101,110,96,90]","1054"
"mijn parkeren amsterdam","[104,94,188,117,88,83,85,70,57,97,128]","1111"
"paris amsterdam","[92,76,99,108,93,105,128,140,115,85,99]","1140"
"trainmore amsterdam","[103,104,115,119,117,99,107,132,115,112,93]","1216"
"filmladder amsterdam","[97,89,111,116,100,124,131,113,101,115,123]","1220"
"dak amsterdam","[111,93,110,113,106,97,132,113,119,123,134]","1251"
"umc amsterdam","[109,134,116,136,102,96,101,108,114,131,130]","1277"
"aanmelden parkeren amsterdam","[78,93,97,99,94,93,87,86,118,242,192]","1279"
"荷兰首都","[129,110,118,97,101,132,115,109,135,114,127]","1287"
"ggd amsterdam","[130,167,103,144,127,102,90,131,117,120,140]","1371"
"prezzo gas amsterdam","[136,130,131,128,119,125,153,109,114,122,115]","1382"
"амстердам","[127,147,126,135,133,118,127,105,131,113,125]","1387"
"what to do in amsterdam","[108,155,127,140,122,129,111,117,134,139,129]","1411"
"oba amsterdam","[167,144,129,123,137,134,112,117,124,115,116]","1418"
"amsterdam in which country","[144,137,131,130,118,135,104,145,150,106,132]","1432"
"parkeervergunning amsterdam","[77,91,136,143,162,108,121,113,137,167,181]","1436"
"nemo amsterdam","[101,140,129,133,137,198,195,110,77,99,121]","1440"
"amc amsterdam","[125,112,139,159,123,136,129,133,126,148,114]","1444"
"mijn amsterdam","[116,129,120,156,126,126,142,119,145,131,143]","1453"
"amsterdam ny","[131,115,129,129,160,123,142,150,125,132,135]","1471"
"amsterdam light festival","[58,72,90,96,107,96,125,165,213,200,264]","1486"
"donsje amsterdam","[145,140,172,129,119,265,103,80,116,110,113]","1492"
"archief amsterdam","[123,139,128,142,111,137,171,149,154,126,130]","1510"
"what country is amsterdam in","[181,141,131,140,149,133,149,138,108,121,121]","1512"
"amsterdam sehenswürdigkeiten","[144,114,182,164,176,157,126,143,119,103,115]","1543"
"amsterdam country","[152,132,141,131,141,157,131,143,145,146,132]","1551"
"amsterdam flights","[125,118,150,138,149,155,175,125,134,130,161]","1560"
"bijenkorf amsterdam","[139,102,138,142,118,139,151,136,146,190,165]","1566"
"weerplaza amsterdam","[178,151,116,167,110,100,185,166,110,134,155]","1572"
"amsterdam holanda","[147,123,160,143,139,160,133,156,152,130,158]","1601"
"gemeente amsterdam vacatures","[120,174,132,145,135,131,115,150,198,165,153]","1618"
"euronext amsterdam","[181,136,137,154,157,167,141,136,128,179,141]","1657"
"melkweg amsterdam","[128,156,152,181,141,147,176,128,172,167,150]","1698"
"amsterdam university","[139,164,156,154,183,137,172,121,158,172,149]","1705"
"pathe amsterdam","[157,163,168,154,143,151,212,164,117,151,132]","1712"
"amsterdam museum","[124,154,144,164,138,146,209,158,162,165,153]","1717"
"paradiso amsterdam","[216,160,150,144,154,165,146,169,156,157,167]","1784"
"rechtbank amsterdam","[141,179,172,177,172,160,154,141,170,175,155]","1796"
"het weer in amsterdam","[190,263,143,188,138,135,218,167,109,144,183]","1878"
"acibadem amsterdam","[145,182,142,163,155,159,134,152,146,274,251]","1903"
"vu amsterdam","[162,140,134,189,173,189,173,207,222,175,182]","1946"
"pom amsterdam","[180,185,233,191,206,194,184,239,123,160,185]","2080"
"carre amsterdam","[139,161,171,203,216,177,174,193,191,250,214]","2089"
"dfds newcastle to amsterdam","[208,188,226,203,208,213,208,208,203,176,165]","2206"
"roc amsterdam","[226,220,223,257,240,213,91,164,172,177,232]","2215"
"amsterdam time zone","[197,222,222,203,228,233,200,200,172,177,171]","2225"
"parkeren amsterdam","[150,161,179,183,214,215,193,203,202,254,297]","2251"
"capital of netherlands","[214,206,211,223,218,175,175,208,191,216,226]","2263"
"airbnb amsterdam","[229,213,230,231,217,232,195,254,218,209,156]","2384"
"eurostar to amsterdam","[261,238,208,214,219,258,232,214,223,191,140]","2398"
"four amsterdam","[222,275,271,275,229,188,151,208,178,236,220]","2453"
"meteo amsterdam","[231,267,170,226,147,192,319,241,241,230,209]","2473"
"roc van amsterdam","[251,291,285,292,239,237,74,189,181,230,206]","2475"
"netherlands capital","[236,239,218,197,226,231,199,249,261,258,247]","2561"
"amsterdam umc","[221,249,251,254,256,253,220,248,274,262,249]","2737"
"blond amsterdam","[177,197,235,220,226,198,213,266,298,366,366]","2762"
"wetter amsterdam","[295,322,299,344,224,243,303,214,185,160,173]","2762"
"hotels amsterdam","[242,229,245,266,261,301,238,237,311,257,206]","2793"
"amsterdam holidays","[256,236,277,272,243,269,239,268,223,280,232]","2795"
"ikea amsterdam","[257,300,269,287,292,268,276,244,275,238,258]","2964"
"amsterdam netherlands","[295,268,305,328,256,228,249,266,288,259,256]","2998"
"mim amsterdam","[264,246,297,266,267,211,196,241,317,430,439]","3174"
"rai amsterdam","[327,326,316,260,277,353,274,225,274,292,290]","3214"
"weather in amsterdam","[396,327,305,366,296,268,284,272,224,291,326]","3355"
"amsterdam map","[314,270,309,305,325,310,330,317,314,281,302]","3377"
"stadsarchief amsterdam","[287,305,269,281,308,316,297,390,289,347,358]","3447"
"klaverjassen amsterdam gratis","[308,309,288,355,320,300,352,343,324,293,344]","3536"
"concertgebouw amsterdam","[264,282,299,325,344,378,328,347,405,571,350]","3893"
"amsterdam hotels","[429,288,337,319,355,375,388,434,366,333,285]","3909"
"hotels in amsterdam","[420,376,340,450,290,339,332,458,326,344,253]","3928"
"oud-west amsterdam netherlands","[381,371,393,334,348,331,381,355,378,310,420]","4002"
"where is amsterdam","[392,372,305,308,350,381,392,391,429,425,416]","4161"
"amsterdam empire","[25,65,64,42,122,1152,1551,732,488]","4241"
"stedelijk museum amsterdam","[287,300,299,320,510,544,507,467,411,434,405]","4484"
"funda amsterdam","[467,441,459,427,456,432,424,392,394,391,358]","4641"
"vrije universiteit amsterdam","[409,400,443,498,421,422,405,452,479,462,407]","4798"
"amsterdam hotel","[442,469,503,495,515,452,414,386,415,408,463]","4962"
"gvb amsterdam","[438,425,473,492,460,503,420,457,449,455,441]","5013"
"amsterdam time now","[417,476,461,470,454,452,400,600,485,423,407]","5045"
"amsterdam printing","[518,542,471,479,460,484,579,580,538,536,539]","5726"
"things to do in amsterdam","[563,482,555,593,597,491,608,569,508,456,460]","5882"
"weather amsterdam","[730,761,513,536,456,427,658,507,358,439,610]","5995"
"woningnet amsterdam","[561,606,627,593,533,608,580,530,588,561,522]","6309"
"rijksmuseum amsterdam","[609,563,583,643,644,670,643,596,560,577,583]","6671"
"ajax amsterdam soccer team","[176,851,318,1145,155,195,1493,429,1728,292,259]","7041"
"hotel amsterdam","[681,680,715,835,799,741,648,798,756,629,661]","7943"
"buienradar amsterdam","[1225,1451,382,585,488,381,1049,868,321,458,817]","8025"
"flights to amsterdam","[656,545,848,735,655,727,909,603,633,672,1058]","8041"
"icon amsterdam","[418,395,462,477,657,656,662,705,690,1359,1734]","8215"
"amsterdam time","[861,833,842,813,786,794,822,972,846,848,764]","9181"
"ajax amsterdam","[683,1178,853,1494,409,591,824,834,1337,581,655]","9439"
"weer amsterdam","[1233,1435,750,867,624,609,1099,720,591,679,958]","9565"
"amsterdam airport","[961,1072,952,983,860,840,940,842,824,789,773]","9836"
"university of amsterdam","[836,942,909,921,959,907,892,924,857,903,848]","9898"
"time in amsterdam","[886,1066,918,983,884,789,812,1064,919,972,947]","10240"
"new amsterdam","[1032,1035,1157,1051,977,886,812,834,853,896,863]","10396"
"amsterdam weather","[1108,1221,890,1086,990,824,1054,840,814,962,1107]","10896"
"showup amsterdam","[965,827,920,1020,1020,979,996,933,1094,1163,1142]","11059"
"gemeente amsterdam","[977,1089,1126,1160,1082,1090,1060,1080,1183,1134,1184]","12165"
"阿姆斯特丹","[947,902,930,651,802,916,894,36570,1269,1062,998]","45941"
"rotterdam","[4776,4680,5014,4715,4750,4908,4617,4775,5139,4777,4794]","52945"
"history of amsterdam","[141965,2357,962,511]","145795"
"travel to amsterdam","[124545,84757,175853,124120,157812,132197,117564,121280,23902,3321,1463]","1066814"
